detector,dataset,granularity,strategy,alpha,ucb_method,delta,mean_test_risk,mean_test_coverage,target_met_rate,mean_guarantee_margin,worst_group_target_met_rate,worst_group_test_risk
mock,toy_det,coarse,flat,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.9500000000000001,,
mock,toy_det,coarse,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,coarse,flat,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,,
mock,toy_det,coarse,groupwise,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.9500000000000001,0.0,1.0
mock,toy_det,coarse,groupwise,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,0.0,1.0
mock,toy_det,coarse,groupwise,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,0.0,1.0
mock,toy_det,coarse,hierarchy,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.9500000000000001,,
mock,toy_det,coarse,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,coarse,hierarchy,0.2,clopper_pearson,0.05,0.8567460317460318,0.07972665148063782,0.16666666666666666,-0.6663969775289206,,
mock,toy_det,counterfactual,flat,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.9499999999999998,,
mock,toy_det,counterfactual,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,counterfactual,flat,0.2,clopper_pearson,0.05,0.153377857859307,0.9113046190105535,1.0,0.006749609523895399,,
mock,toy_det,counterfactual,groupwise,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.9499999999999998,0.0,1.0
mock,toy_det,counterfactual,groupwise,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,0.0,1.0
mock,toy_det,counterfactual,groupwise,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8000000000000002,0.0,1.0
