detector,dataset,granularity,strategy,alpha,achieved_risk,achieved_coverage,target_met_rate,calib_margin
mock,toy_det,coarse,flat,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,counterfactual,flat,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,fine,flat,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,mixed,flat,0.05,0.6666666666666666,0.11215092097445038,0.3333333333333333,-0.6245683932644275
mock,toy_det,standard,flat,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,coarse,flat,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,counterfactual,flat,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,fine,flat,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,mixed,flat,0.1,0.34486810187992717,0.16927305422706385,0.6666666666666666,-0.27486507781158287
mock,toy_det,standard,flat,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,coarse,flat,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,counterfactual,flat,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,fine,flat,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,mixed,flat,0.2,0.434734192020832,0.2689756537670224,0.5,-0.2460482769040386
mock,toy_det,standard,flat,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,coarse,groupwise,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,counterfactual,groupwise,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,fine,groupwise,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,mixed,groupwise,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,standard,groupwise,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,coarse,groupwise,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,counterfactual,groupwise,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,fine,groupwise,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,mixed,groupwise,0.1,0.8436426116838488,0.07204396910279263,0.16666666666666666,-0.7467607058206728
mock,toy_det,standard,groupwise,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,coarse,groupwise,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,counterfactual,groupwise,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,fine,groupwise,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,mixed,groupwise,0.2,0.7070296831127156,0.1840463458110517,0.3333333333333333,-0.5294821146856422
mock,toy_det,standard,groupwise,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,coarse,hierarchy,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,counterfactual,hierarchy,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,fine,hierarchy,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,mixed,hierarchy,0.05,0.6666666666666666,0.11215092097445038,0.3333333333333333,-0.6245683932644275
mock,toy_det,standard,hierarchy,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,coarse,hierarchy,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,counterfactual,hierarchy,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,fine,hierarchy,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,mixed,hierarchy,0.1,0.34486810187992717,0.16927305422706385,0.6666666666666666,-0.27486507781158287
mock,toy_det,standard,hierarchy,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,coarse,hierarchy,0.2,0.8610264227642276,0.11569664902998238,0.16666666666666666,-0.665785238224078
mock,toy_det,counterfactual,hierarchy,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,fine,hierarchy,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,mixed,hierarchy,0.2,0.434734192020832,0.2689756537670224,0.5,-0.2460482769040386
mock,toy_det,standard,hierarchy,0.2,1.0,0.0,0.0,-0.8000000000000002
