detector,dataset,granularity,strategy,alpha,achieved_risk,achieved_coverage,target_met_rate,calib_margin
mock,toy_det,coarse,flat,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,counterfactual,flat,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,fine,flat,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,mixed,flat,0.05,0.6729270077637776,0.16187739463601533,0.3333333333333333,-0.6285930214047697
mock,toy_det,standard,flat,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,coarse,flat,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,counterfactual,flat,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,fine,flat,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,mixed,flat,0.1,0.3671664008506113,0.23254365365459495,0.6666666666666666,-0.2917518218725658
mock,toy_det,standard,flat,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,coarse,flat,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,counterfactual,flat,0.2,0.15337785785930697,0.9113046190105535,1.0,0.0067496095238953335
mock,toy_det,fine,flat,0.2,0.1522988505747126,1.0,1.0,0.007117460145375999
mock,toy_det,mixed,flat,0.2,0.27791135288917196,0.5204417448154802,0.8333333333333334,-0.107305880087444
mock,toy_det,standard,flat,0.2,0.1522988505747126,1.0,1.0,0.007117460145375999
mock,toy_det,coarse,groupwise,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,counterfactual,groupwise,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,fine,groupwise,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,mixed,groupwise,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,standard,groupwise,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,coarse,groupwise,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,counterfactual,groupwise,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,fine,groupwise,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,mixed,groupwise,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,standard,groupwise,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,coarse,groupwise,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,counterfactual,groupwise,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,fine,groupwise,0.2,0.5557849914490061,0.38314176245210724,0.5,-0.384340916796064
mock,toy_det,mixed,groupwise,0.2,0.3867720189873316,0.4189016602809706,0.6666666666666666,-0.2545739296565305
mock,toy_det,standard,groupwise,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,coarse,hierarchy,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,counterfactual,hierarchy,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,fine,hierarchy,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,mixed,hierarchy,0.05,0.6729270077637776,0.16187739463601533,0.3333333333333333,-0.6285930214047697
mock,toy_det,standard,hierarchy,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,coarse,hierarchy,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,counterfactual,hierarchy,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,fine,hierarchy,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,mixed,hierarchy,0.1,0.3671664008506113,0.23254365365459495,0.6666666666666666,-0.2917518218725658
mock,toy_det,standard,hierarchy,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,coarse,hierarchy,0.2,0.8567460317460318,0.07972665148063782,0.16666666666666666,-0.6663969775289206
mock,toy_det,counterfactual,hierarchy,0.2,0.15337785785930697,0.9113046190105535,1.0,0.0067496095238953335
mock,toy_det,fine,hierarchy,0.2,0.1522988505747126,1.0,1.0,0.007117460145375999
mock,toy_det,mixed,hierarchy,0.2,0.13614890078189226,0.6871084114821469,1.0,0.027213696603452017
mock,toy_det,standard,hierarchy,0.2,0.1522988505747126,1.0,1.0,0.007117460145375999
