detector,dataset,granularity,strategy,alpha,ucb_method,delta,mean_test_risk,mean_test_coverage,target_met_rate,mean_guarantee_margin,worst_group_target_met_rate,worst_group_test_risk
mock,toy_det,coarse,flat,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,,
mock,toy_det,coarse,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,coarse,flat,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,,
mock,toy_det,coarse,groupwise,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,0.0,1.0
mock,toy_det,coarse,groupwise,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,0.0,1.0
mock,toy_det,coarse,groupwise,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,0.0,1.0
mock,toy_det,coarse,hierarchy,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,,
mock,toy_det,coarse,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,coarse,hierarchy,0.2,clopper_pearson,0.05,0.8567460317460318,0.0797266514806378,0.1666666666666666,-0.6663969775289206,,
mock,toy_det,counterfactual,flat,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.9499999999999998,,
mock,toy_det,counterfactual,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,counterfactual,flat,0.2,clopper_pearson,0.05,0.153377857859307,0.9113046190105536,1.0,0.0067496095238953,,
mock,toy_det,counterfactual,groupwise,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.9499999999999998,0.0,1.0
mock,toy_det,counterfactual,groupwise,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,0.0,1.0
mock,toy_det,counterfactual,groupwise,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8000000000000002,0.0,1.0
mock,toy_det,counterfactual,hierarchy,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.9499999999999998,,
mock,toy_det,counterfactual,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,counterfactual,hierarchy,0.2,clopper_pearson,0.05,0.153377857859307,0.9113046190105536,1.0,0.0067496095238953,,
mock,toy_det,fine,flat,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,,
mock,toy_det,fine,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,fine,flat,0.2,clopper_pearson,0.05,0.1522988505747126,1.0,1.0,0.007117460145376,,
mock,toy_det,fine,groupwise,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,0.0,1.0
mock,toy_det,fine,groupwise,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,0.0,1.0
mock,toy_det,fine,groupwise,0.2,clopper_pearson,0.05,0.5557849914490062,0.3831417624521072,0.5,-0.384340916796064,0.5,0.5604491517266994
mock,toy_det,fine,hierarchy,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,,
mock,toy_det,fine,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,fine,hierarchy,0.2,clopper_pearson,0.05,0.1522988505747126,1.0,1.0,0.007117460145376,,
mock,toy_det,mixed,flat,0.05,clopper_pearson,0.05,0.6729270077637776,0.1618773946360153,0.3333333333333333,-0.6285930214047696,,
mock,toy_det,mixed,flat,0.1,clopper_pearson,0.05,0.3671664008506114,0.2325436536545949,0.6666666666666666,-0.2917518218725658,,
mock,toy_det,mixed,flat,0.2,clopper_pearson,0.05,0.277911352889172,0.5204417448154801,0.8333333333333334,-0.1073058800874439,,
mock,toy_det,mixed,groupwise,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,0.0,1.0
mock,toy_det,mixed,groupwise,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,0.0,1.0
mock,toy_det,mixed,groupwise,0.2,clopper_pearson,0.05,0.3867720189873316,0.4189016602809706,0.6666666666666666,-0.2545739296565304,0.6666666666666666,0.4175805675805675
mock,toy_det,mixed,hierarchy,0.05,clopper_pearson,0.05,0.6729270077637776,0.1618773946360153,0.3333333333333333,-0.6285930214047696,,
mock,toy_det,mixed,hierarchy,0.1,clopper_pearson,0.05,0.3671664008506114,0.2325436536545949,0.6666666666666666,-0.2917518218725658,,
mock,toy_det,mixed,hierarchy,0.2,clopper_pearson,0.05,0.1361489007818923,0.6871084114821467,1.0,0.027213696603452,,
mock,toy_det,standard,flat,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,,
mock,toy_det,standard,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,standard,flat,0.2,clopper_pearson,0.05,0.1522988505747126,1.0,1.0,0.007117460145376,,
mock,toy_det,standard,groupwise,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,0.0,1.0
mock,toy_det,standard,groupwise,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,0.0,1.0
mock,toy_det,standard,groupwise,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,0.0,1.0
mock,toy_det,standard,hierarchy,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,,
mock,toy_det,standard,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,standard,hierarchy,0.2,clopper_pearson,0.05,0.1522988505747126,1.0,1.0,0.007117460145376,,
