detector,dataset,granularity,strategy,alpha,achieved_risk,achieved_coverage,target_met_rate,calib_margin
mock,toy_det,coarse,flat,0.05,1.0,0.0,0.0,-0.9499999999999998
mock,toy_det,counterfactual,flat,0.05,0.016932921304231567,0.9335572605723182,1.0,0.0105562733957041
mock,toy_det,fine,flat,0.05,0.0,1.0,1.0,0.0413292853103632
mock,toy_det,mixed,flat,0.05,0.012221396049056301,0.8679757343550447,0.8333333333333334,0.029063200407990434
mock,toy_det,standard,flat,0.05,0.0,1.0,1.0,0.0413292853103632
mock,toy_det,coarse,flat,0.1,1.0,0.0,0.0,-0.9
mock,toy_det,counterfactual,flat,0.1,0.0641681550254444,0.9808061636228156,1.0,0.009538632906616233
mock,toy_det,fine,flat,0.1,0.0,1.0,1.0,0.0913292853103632
mock,toy_det,mixed,flat,0.1,0.027494423343582302,0.8960727969348659,1.0,0.06507274376349967
mock,toy_det,standard,flat,0.1,0.0,1.0,1.0,0.0913292853103632
mock,toy_det,coarse,flat,0.2,1.0,0.0,0.0,-0.8000000000000002
mock,toy_det,counterfactual,flat,0.2,0.08222654227968663,1.0,1.0,0.08508463776785113
mock,toy_det,fine,flat,0.2,0.0,1.0,1.0,0.1913292853103632
mock,toy_det,mixed,flat,0.2,0.05749230810066434,0.9431673052362708,1.0,0.1278146869168489
mock,toy_det,standard,flat,0.2,0.0,1.0,1.0,0.1913292853103632
mock,toy_det,coarse,groupwise,0.05,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.6299801963539132
mock,toy_det,counterfactual,groupwise,0.05,0.004410838059231234,0.9189810288127381,1.0,0.010279157395116333
mock,toy_det,fine,groupwise,0.05,0.0,1.0,1.0,0.0149649693950579
mock,toy_det,mixed,groupwise,0.05,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.3087124338650305
mock,toy_det,standard,groupwise,0.05,0.0,1.0,1.0,0.0149649693950579
mock,toy_det,coarse,groupwise,0.1,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.5799801963539132
mock,toy_det,counterfactual,groupwise,0.1,0.03076956866934813,0.9469790911774968,1.0,0.025964915734058
mock,toy_det,fine,groupwise,0.1,0.0,1.0,1.0,0.0649649693950579
mock,toy_det,mixed,groupwise,0.1,0.011404561824729884,0.9663154533844188,1.0,0.050345920698880824
mock,toy_det,standard,groupwise,0.1,0.0,1.0,1.0,0.0649649693950579
mock,toy_det,coarse,groupwise,0.2,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.47998019635391326
mock,toy_det,counterfactual,groupwise,0.2,0.0702939204460747,0.9873015873015873,1.0,0.049552359330087566
mock,toy_det,fine,groupwise,0.2,0.0,1.0,1.0,0.1649649693950579
mock,toy_det,mixed,groupwise,0.2,0.02153456387984075,0.9803639846743296,1.0,0.13614129196906372
mock,toy_det,standard,groupwise,0.2,0.0,1.0,1.0,0.1649649693950579
mock,toy_det,coarse,hierarchy,0.05,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.6200631934561146
mock,toy_det,counterfactual,hierarchy,0.05,0.016932921304231567,0.9335572605723182,1.0,0.0105562733957041
mock,toy_det,fine,hierarchy,0.05,0.0,1.0,1.0,0.0413292853103632
mock,toy_det,mixed,hierarchy,0.05,0.009599673202614368,0.9636015325670497,0.8333333333333334,0.03451390960864715
mock,toy_det,standard,hierarchy,0.05,0.0,1.0,1.0,0.0413292853103632
mock,toy_det,coarse,hierarchy,0.1,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.5700631934561146
mock,toy_det,counterfactual,hierarchy,0.1,0.0641681550254444,0.9808061636228156,1.0,0.009538632906616233
mock,toy_det,fine,hierarchy,0.1,0.0,1.0,1.0,0.0913292853103632
mock,toy_det,mixed,hierarchy,0.1,0.014035087719298234,0.9698275862068965,1.0,0.07766932133270457
mock,toy_det,standard,hierarchy,0.1,0.0,1.0,1.0,0.0913292853103632
mock,toy_det,coarse,hierarchy,0.2,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.4700631934561146
mock,toy_det,counterfactual,hierarchy,0.2,0.08222654227968663,1.0,1.0,0.08508463776785113
mock,toy_det,fine,hierarchy,0.2,0.0,1.0,1.0,0.1913292853103632
mock,toy_det,mixed,hierarchy,0.2,0.0272285813388831,0.986749680715198,1.0,0.15962938886339084
mock,toy_det,standard,hierarchy,0.2,0.0,1.0,1.0,0.1913292853103632
