detector,dataset,granularity,metric,value
mock,toy_det,__overall__,granularity_sensitivity_index,0.1286978994107809
mock,toy_det,__overall__,normalized_gsi_to_standard,0.1767664176944595
mock,toy_det,coarse,vocab_instability_cv,0.3029857335387221
mock,toy_det,coarse,vocab_worst10_map,0.3202827160270669
mock,toy_det,coarse,vocab_median_map,0.3942028665487789
mock,toy_det,counterfactual,vocab_instability_cv,0.0001456894896655
mock,toy_det,counterfactual,vocab_worst10_map,0.7278411450509028
mock,toy_det,counterfactual,vocab_median_map,0.7278996993407477
mock,toy_det,fine,vocab_instability_cv,0.0004077315412556
mock,toy_det,fine,vocab_worst10_map,0.7280561905102403
mock,toy_det,fine,vocab_median_map,0.728471217606071
mock,toy_det,mixed,vocab_instability_cv,0.1322664722922358
mock,toy_det,mixed,vocab_worst10_map,0.5512671042229753
mock,toy_det,mixed,vocab_median_map,0.6511049289288056
mock,toy_det,standard,vocab_instability_cv,0.0003772596148346
mock,toy_det,standard,vocab_worst10_map,0.7277562382387774
mock,toy_det,standard,vocab_median_map,0.72803480240839
