detector,dataset,granularity,strategy,alpha,ucb_method,delta,mean_test_risk,mean_test_coverage,target_met_rate,mean_guarantee_margin,worst_group_target_met_rate,worst_group_test_risk
mock,toy_det,coarse,flat,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.9500000000000001,,
mock,toy_det,coarse,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,coarse,flat,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,,
mock,toy_det,coarse,groupwise,0.05,clopper_pearson,0.05,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.6299801963539132,0.3333333333333333,0.6666666666666666
mock,toy_det,coarse,groupwise,0.1,clopper_pearson,0.05,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.5799801963539132,0.3333333333333333,0.6666666666666666
mock,toy_det,coarse,groupwise,0.2,clopper_pearson,0.05,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.47998019635391326,0.3333333333333333,0.6666666666666666
mock,toy_det,coarse,hierarchy,0.05,clopper_pearson,0.05,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.6200631934561144,,
mock,toy_det,coarse,hierarchy,0.1,clopper_pearson,0.05,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.5700631934561146,,
mock,toy_det,coarse,hierarchy,0.2,clopper_pearson,0.05,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.47006319345611464,,
mock,toy_det,counterfactual,flat,0.05,clopper_pearson,0.05,0.016932921304231605,0.9335572605723182,1.0,0.010556273395704108,,
mock,toy_det,counterfactual,flat,0.1,clopper_pearson,0.05,0.06416815502544443,0.9808061636228156,1.0,0.009538632906616301,,
mock,toy_det,counterfactual,flat,0.2,clopper_pearson,0.05,0.08222654227968666,1.0,1.0,0.08508463776785118,,
mock,toy_det,counterfactual,groupwise,0.05,clopper_pearson,0.05,0.004410838059231254,0.9189810288127384,1.0,0.010279157395116381,1.0,0.005663430420711974
